clave_entidad,entidad,clave_municipio,municipio,cve_alcaldia,anio,periodo,grupo,poblacion,pobreza_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,ingreso_inferior_a_lpi_porcentaje
9,Ciudad de México,9009,Milpa Alta,009,2010,2010-01-01,Adultos (30 a 64 años),54823,46.12075,17.569495,49.905474
9,Ciudad de México,9010,Álvaro Obregón,010,2010,2010-01-01,Adultos (30 a 64 años),323561,23.556294,5.794221,28.537694
9,Ciudad de México,9011,Tláhuac,011,2010,2010-01-01,Adultos (30 a 64 años),164425,38.834369,6.499058,46.508353
9,Ciudad de México,9012,Tlalpan,012,2010,2010-01-01,Adultos (30 a 64 años),283850,24.704254,6.431211,27.752541
9,Ciudad de México,9013,Xochimilco,013,2010,2010-01-01,Adultos (30 a 64 años),171310,29.980632,9.090376,34.716463
9,Ciudad de México,9014,Benito Juárez,014,2010,2010-01-01,Adultos (30 a 64 años),163846,,5.763101,3.238029
9,Ciudad de México,9015,Cuauhtémoc,015,2010,2010-01-01,Adultos (30 a 64 años),232693,15.382406,4.387752,19.428533
9,Ciudad de México,9016,Miguel Hidalgo,016,2010,2010-01-01,Adultos (30 a 64 años),155651,8.120047,5.763101,10.60479
9,Ciudad de México,9017,Venustiano Carranza,017,2010,2010-01-01,Adultos (30 a 64 años),195754,23.543914,4.658007,29.473643
9,Ciudad de México,9002,Azcapotzalco,002,2020,2020-01-01,Adultos mayores (65 o más años),54425,16.318222,1.121652,32.894883
9,Ciudad de México,9003,Coyoacán,003,2020,2020-01-01,Adultos mayores (65 o más años),89394,15.949532,5.763101,31.242635
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2020,2020-01-01,Adultos mayores (65 o más años),21798,19.694138,5.763101,32.449049
9,Ciudad de México,9005,Gustavo A. Madero,005,2020,2020-01-01,Adultos mayores (65 o más años),151056,23.140982,1.444331,40.147552
9,Ciudad de México,9006,Iztacalco,006,2020,2020-01-01,Adultos mayores (65 o más años),47874,18.598496,1.244944,31.506386
9,Ciudad de México,9007,Iztapalapa,007,2020,2020-01-01,Adultos mayores (65 o más años),178837,30.739191,5.763101,45.604803
9,Ciudad de México,9008,La Magdalena Contreras,008,2020,2020-01-01,Adultos mayores (65 o más años),27751,30.370741,2.253856,44.923993
9,Ciudad de México,9009,Milpa Alta,009,2020,2020-01-01,Adultos mayores (65 o más años),11062,45.783604,5.763101,55.988284
9,Ciudad de México,9010,Álvaro Obregón,010,2020,2020-01-01,Adultos mayores (65 o más años),87576,27.348429,1.443195,40.902123
9,Ciudad de México,9011,Tláhuac,011,2020,2020-01-01,Adultos mayores (65 o más años),28749,32.869811,2.509355,46.341606
9,Ciudad de México,9012,Tlalpan,012,2020,2020-01-01,Adultos mayores (65 o más años),70776,25.244566,2.134655,36.123615
9,Ciudad de México,9013,Xochimilco,013,2020,2020-01-01,Adultos mayores (65 o más años),40165,32.937283,4.10141,47.648923
9,Ciudad de México,9014,Benito Juárez,014,2020,2020-01-01,Adultos mayores (65 o más años),60073,5.602033,5.763101,12.130714
9,Ciudad de México,9015,Cuauhtémoc,015,2020,2020-01-01,Adultos mayores (65 o más años),59125,12.991608,5.763101,24.970977
9,Ciudad de México,9016,Miguel Hidalgo,016,2020,2020-01-01,Adultos mayores (65 o más años),56364,9.648402,5.763101,18.248231
9,Ciudad de México,9017,Venustiano Carranza,017,2020,2020-01-01,Adultos mayores (65 o más años),50845,19.33893,1.604391,37.048657
9,Ciudad de México,9002,Azcapotzalco,002,2015,2015-01-01,Adultos mayores (65 o más años),52697,17.37451,5.763101,33.428247
9,Ciudad de México,9003,Coyoacán,003,2015,2015-01-01,Adultos mayores (65 o más años),78079,13.513468,5.763101,24.716499
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2015,2015-01-01,Adultos mayores (65 o más años),11937,25.315578,2.924977,32.602852
9,Ciudad de México,9005,Gustavo A. Madero,005,2015,2015-01-01,Adultos mayores (65 o más años),143261,21.394567,1.311011,37.210043
