consulta,match,score,decision,cve_alcaldia
CENTAURO,CENTRO URBANO (U HAB),55,no_match,003
ERMITA IZTAPALAPA,EMILIANO ZAPATA,62,no_match,003
AVENIDA MEXICO,MEDIA LUNA,50,no_match,003
MARIQUITA SANCHEZ,SANTA MARTHA DEL SUR,48,no_match,003
CROC VI,CROC CULHUACAN SECC 6 (U HAB),72,candidato,003
CALZADA DE LA VIRGEN,LA VIRGEN 1170 (U HAB),62,no_match,003
CERRO DE LA ESTRELLA,PEDREGAL DE LA ZORRA,55,no_match,003
CANDELARIA PEREZ,AMPLIACION CANDELARIA,76,candidato,003
AVENIDA HEROICA ESCUELA NAVAL MILITAR,LA MAGDALENA CULHUACAN (BARR),45,no_match,003
AVENIDA COPILCO,COPILCO UNIVERSIDAD I,72,candidato,003
DIEGO NAVA RIVAS,NUEVA DIAZ ORDAZ,56,no_match,003
AYOJALPA,OLIMPICA,50,no_match,003
PEDREGAL DE CARRASCO SECCION 3RA,PEDREGAL DE LA ZORRA,70,candidato,003
MERCEDES ABREGO,CARMEN SERDAN,50,no_match,003
GRANJAS ESMERALDA,SANTA MARTHA DEL SUR,48,no_match,003
UNICORNIO,AJUSCO I,47,no_match,003
EUSEBIO ROSAS DE LA ROSA,PEDREGAL DE LA ZORRA,54,no_match,003
PASEO DEL CANTIL,CANTIL DEL PEDREGAL,76,candidato,003
TIZAPAN SAN ANGEL,PEDREGAL DE SAN ANGEL (AMPL),69,no_match,003
AVENIDA ANACAHUITA,ACASULCO UNIVERSIDAD,52,no_match,003
PROLONGACION SANTA TECLA,SANTA URSULA COYOACAN,62,no_match,003
1A CERRADA HELIOTROPO,LAS TROJES COAPA (U HAB),44,no_match,003
5 DE MAYO,EL MIRADOR,52,no_match,003
AMEZQUITE,TAXQUENA,47,no_match,003
2A. DE TEHUIZTITLA,MONTE DE PIEDAD I,45,no_match,003
SAN PEDRO XALPA,PARQUE SAN ANDRES,56,no_match,003
CALLEJON COLIMA,AMPLIACION CANDELARIA,50,no_match,003
SAN FELIPE,SANTA CECILIA I,56,no_match,003
COPAL,LAS CAMPANAS,47,no_match,003
LIBRA,LIBERTAD 100,58,no_match,003
AILE,EL CARACOL,42,no_match,003
AVENIDA DE LA LIBERTAD,LIBERTAD 100,80,candidato,003
GEMELOS,EL RELOJ,53,no_match,003
SAN PASCASIO,SAN LUCAS (BARR),57,no_match,003
CALLE CHICHIMECAS,EX HACIENDA COAPA,52,no_match,003
ISIDORO OLVERA,EL ROSEDAL II,44,no_match,003
TOTONACAS,VILLA COYOACAN,43,no_match,003
AVENIDA DE LOS APACHES,PASEOS DE TAXQUENA I,57,no_match,003
PEDREGAL DE COYOACAN,CANTIL DEL PEDREGAL,76,candidato,003
AVENIDA SANTA ANA,SANTA CATARINA (BARR),57,no_match,003
MEDITERRANEO,ROMERO DE TERREROS,53,no_match,003
